,0
0,"bitfinex_perpetual_funding_rate"
1,"bitmex_composite_price_index"
2,"bitmex_perpetual_basis"
3,"bitmex_perpetual_basis_ratio"
4,"bitmex_perpetual_funding_rate"
5,"bitmex_perpetual_price"
6,"deribit_perpetual_funding_rate"
7,"dydx_perpetual_funding_rate"
8,"exchange_balance"
9,"exchange_inflow"
10,"exchange_outflow"
11,"mvrv_usd_intraday_1d"
12,"mvrv_usd_intraday_30d"
13,"mvrv_usd_intraday_7d"
14,"mvrv_usd_intraday_90d"
15,"network_profit_loss"
16,"price_usd"
17,"price_volatility_1d"
18,"price_volatility_1w"
19,"sentiment_balance_total"
20,"sentiment_negative_total"
21,"sentiment_positive_total"
22,"social_dominance_total"
23,"social_volume_ai_total"
24,"social_volume_total"
25,"transaction_volume"
26,"unique_social_volume_total_5m"
27,"usdt_binance_funding_rate"
28,"whale_transaction_count_100k_usd_to_inf"
29,"whale_transaction_count_1m_usd_to_inf"
